name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb)
AMC Ambassador Brougham,13,8,360,175,3821
AMC Ambassador DPL,15,8,390,190,3850
AMC Ambassador SST,17,8,304,150,3672
AMC Concord DL 6,20.2,6,232,90,3265
AMC Concord DL,18.1,6,258,120,3410
AMC Concord DL,23,4,151,,3035
AMC Concord,19.4,6,232,90,3210
AMC Concord,24.3,4,151,90,3003
AMC Gremlin,18,6,232,100,2789
AMC Gremlin,19,6,232,100,2634
AMC Gremlin,20,6,232,100,2914
AMC Gremlin,21,6,199,90,2648
AMC Hornet Sportabout (Wagon),18,6,258,110,2962
AMC Hornet,18,6,199,97,2774
AMC Hornet,18,6,232,100,2945
AMC Hornet,19,6,232,100,2901
AMC Hornet,22.5,6,232,90,3085
AMC Matador (Wagon),14,8,304,150,4257
AMC Matador (Wagon),15,8,304,150,3892
AMC Matador,14,8,304,150,3672
AMC Matador,15,6,258,110,3730
AMC Matador,15.5,8,304,120,3962
AMC Matador,16,6,258,110,3632
AMC Matador,18,6,232,100,3288
AMC Pacer D/L,17.5,6,258,95,3193
AMC Pacer,19,6,232,90,3211
AMC Rebel SST,16,8,304,150,3433
AMC Spirit DL,27.4,4,121,80,2670
Audi 100 LS,20,4,114,91,2582
Audi 100 LS,23,4,115,95,2694
Audi 100 LS,24,4,107,90,2430
Audi 4000,34.3,4,97,78,2188
Audi 5000,20.3,5,131,103,2830
Audi 5000S (Diesel),36.4,5,121,67,2950
Audi Fox,29,4,98,83,2219
BMW 2002,26,4,121,113,2234
BMW 320i,21.5,4,121,110,2600
Buick Century 350,13,8,350,175,4100
Buick Century Limited,25,6,181,110,2945
Buick Century Luxus (Wagon),13,8,350,150,4699
Buick Century Special,20.6,6,231,105,3380
Buick Century,17,6,231,110,3907
Buick Century,22.4,6,231,110,3415
Buick Electra 225 Custom,12,8,455,225,4951
Buick Estate Wagon (Wagon),14,8,455,225,3086
Buick Estate Wagon (Wagon),16.9,8,350,155,4360
Buick Lesabre Custom,13,8,350,155,4502
Buick Opel Isuzu Deluxe,30,4,111,80,2155
Buick Regal Sport Coupe (Turbo),17.7,6,231,165,3445
Buick Skyhawk,21,6,231,110,3039
Buick Skylark 320,15,8,350,165,3693
Buick Skylark Limited,28.4,4,151,90,2670
Buick Skylark,20.5,6,231,105,3425
Buick Skylark,26.6,4,151,84,2635
Cadillac Eldorado,23,8,350,125,3900
Cadillac Seville,16.5,8,350,180,4380
Chevroelt Chevelle Malibu,16,6,250,105,3897
Chevrolet Bel Air,15,8,350,145,4440
Chevrolet Camaro,27,4,151,90,2950
Chevrolet Caprice Classic,13,8,400,150,4464
Chevrolet Caprice Classic,17,8,305,130,3840
Chevrolet Caprice Classic,17.5,8,305,145,3880
Chevrolet Cavalier 2-Door,34,4,112,88,2395
Chevrolet Cavalier Wagon,27,4,112,88,2640
Chevrolet Cavalier,28,4,112,88,2605
Chevrolet Chevelle Concours (Wagon),13,8,307,130,4098
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215
Chevrolet Chevelle Malibu,17,6,250,100,3329
Chevrolet Chevelle Malibu,18,8,307,130,3504
Chevrolet Chevette,29,4,85,52,2035
Chevrolet Chevette,30,4,98,68,2155
Chevrolet Chevette,30.5,4,98,63,2051
Chevrolet Chevette,32.1,4,98,70,2120
Chevrolet Citation,23.5,6,173,110,2725
Chevrolet Citation,28,4,151,90,2678
Chevrolet Citation,28.8,6,173,115,2595
Chevrolet Concours,17.5,6,250,110,3520
Chevrolet Impala,11,8,400,150,4997
Chevrolet Impala,13,8,350,165,4274
Chevrolet Impala,14,8,350,165,4209
Chevrolet Impala,14,8,454,220,4354
