country,Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population
Afghanistan,86.4,5.6,0.412,6.34,7.41,56.7,17.21
Albania,16,1.67,1.79,8.35,9.23,76.7,14.89
Algeria,26.6,2.93,3.29,8.41,9.47,76.7,17.42
Angola,111,6.08,1.25,8.17,8.68,60.9,17
Antigua and Barbuda,9.9,2.12,5.36,9.38,9.83,76.9,11.47
Argentina,13.9,2.36,4.6,9.29,9.88,76,17.55
Armenia,17.2,1.5,1.71,8.12,8.86,73.8,14.87
Australia,4.6,1.92,17.4,10.87,10.64,82.2,16.93
Austria,4.2,1.44,7.69,10.78,10.7,80.7,15.95
Azerbaijan,37.4,2.01,3.66,8.66,9.67,69.9,16.03
Bahamas,13.2,1.85,5.09,10.23,10.03,73.8,12.81
Bahrain,8.3,2.12,22.4,9.93,10.61,76.2,14.06
Bangladesh,46.5,2.24,0.412,6.68,7.85,71,18.85
Barbados,13.9,1.79,5.45,9.68,9.64,76.7,12.55
Belarus,5.1,1.58,6.77,8.76,9.75,70.7,16.06
Belgium,4.4,1.8,9.08,10.71,10.63,80.2,16.21
Belize,18.2,2.68,1.83,8.37,8.97,71.5,12.7
Benin,109,5.31,0.56,6.63,7.51,62.2,16.06
Bhutan,40.4,2.31,0.99,7.75,8.83,72.5,13.52
Bolivia,44.6,3.13,1.6,7.63,8.63,71.9,16.13
Bosnia and Herzegovina,6.6,1.31,6.48,8.46,9.2,76.9,15.12
Botswana,51.7,2.88,2.04,8.8,9.54,58.9,14.53
Brazil,18.9,1.79,2.21,9.36,9.62,74.4,19.11
Brunei,10.4,1.86,24.6,10.49,11.32,77,12.88
Bulgaria,10.4,1.5,6.71,8.86,9.66,74.3,15.81
Burkina Faso,110,5.78,0.138,6.39,7.29,58.4,16.59
Burundi,89.1,6.16,0.0268,5.46,6.65,58.2,16.02
Cambodia,41.1,2.81,0.358,6.72,7.89,66.6,16.49
Cameroon,103,5.05,0.281,7.19,7.9,57.7,16.84
Canada,5.5,1.63,15.6,10.79,10.64,81.5,17.36
Cape Verde,25.7,2.59,1.21,8.13,8.7,72.7,13.14
Central African Republic,145,5.17,0.0623,6.13,6.82,48,15.32
Chad,146,6.48,0.0439,6.77,7.53,57,16.33
Chile,8.6,1.86,4.62,9.51,9.92,79.5,16.66
China,14.6,1.59,7.12,8.51,9.25,75.1,21.04
Colombia,18,1.98,1.65,8.79,9.35,77,17.65
Comoros,85.5,4.82,0.192,6.65,7.26,65.6,13.47
"Congo, Dem. Rep.",112,6.42,0.0374,5.84,6.45,58,18.02
"Congo, Rep.",61.3,4.92,0.501,7.92,8.56,61.1,15.32
Costa Rica,10.1,1.89,1.68,9.04,9.5,80.5,15.34
Cote d'Ivoire,108,5.18,0.347,7.04,7.83,56.9,16.86
Croatia,5.3,1.48,4.59,9.54,9.94,76.6,15.28
Cuba,6,1.66,3.17,8.67,9.84,78.5,16.25
Cyprus,3.4,1.41,6.6,10.31,10.41,80.2,13.93
Czech Republic,3.2,1.48,10.1,9.91,10.27,77.8,16.18
Denmark,4.1,1.76,7.28,10.98,10.7,79.8,15.53
Dominican Republic,33.9,2.57,2.12,8.62,9.33,74.7,16.12
Ecuador,24.4,2.63,2.54,8.51,9.2,77,16.54
Egypt,27.9,3.25,2.53,7.86,9.19,70.9,18.27
El Salvador,18.3,2.22,1.07,8.04,8.91,74.3,15.64
Equatorial Guinea,107,5.13,6.16,9.77,10.45,61.4,13.81
Eritrea,53.1,4.53,0.133,6.24,7.32,62,15.31
Estonia,4.2,1.63,14,9.67,10.11,76.3,14.1
Ethiopia,76.2,4.8,0.0858,5.91,7.06,62.2,18.32
Fiji,23.9,2.64,1.26,8.22,8.92,65.5,13.67
Finland,2.9,1.83,10.5,10.76,10.61,80.3,15.5
France,4.2,1.99,5.24,10.63,10.53,81.7,17.96
Gabon,61,4.05,2.93,9.11,9.67,63.3,14.35
Gambia,77.4,5.68,0.256,6.26,7.34,66,14.38
Georgia,15.3,1.95,1.91,8.08,8.9,73,15.24
Germany,4.1,1.41,9.05,10.69,10.66,80.3,18.21
Ghana,71.7,4.23,0.391,7.29,8.13,62.9,17.04
