Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population,country
1.38801056,1.814710864,-0.679029924,-0.664206526,-0.789379601,-1.679999937,-0.063647582,Afghanistan
-0.561320634,-0.857442716,-0.458012053,-0.462643572,-0.344135818,0.70326198,-0.251470581,Albania
-0.267813381,-0.000721721,-0.217426562,-0.446589396,-0.19815425,0.70326198,-0.013832741,Algeria
2.069168903,2.141080766,-0.54462283,-0.499734256,-0.567800435,-1.179514934,-0.102236544,Angola
-0.730225752,-0.551470932,0.114581416,-0.042467023,0.093808886,0.727094599,-0.271356526,Antigua and Barbuda
-0.619468298,-0.388285981,-0.007315233,-0.097826253,0.14594516,0.619847813,0.020546515,Argentina
-0.528093398,-0.973032057,-0.470843279,-0.509145325,-0.50992917,0.357689002,-0.25182139,Armenia
-0.876979379,-0.687458392,2.04568096,2.210653602,1.303370449,1.358659007,-0.114164041,Australia
-0.888055124,-1.013828295,0.488290879,1.967072994,1.428497507,1.179914364,-0.212671135,Austria
0.031231746,-0.626264035,-0.15808214,-0.376283175,-0.052172682,-0.107047072,-0.207829974,Azerbaijan
-0.638850852,-0.735054003,0.071276028,0.83774472,0.30756761,0.357689002,-0.269453037,Bahamas
-0.774528734,-0.551470932,2.847632597,0.43915827,1.246020547,0.643680432,-0.26304727,Bahrain
0.283204954,-0.469878457,-0.679029924,-0.651584621,-0.741935591,0.024032334,0.808462944,Bangladesh
-0.619468298,-0.77585024,0.129016546,0.190041739,-0.073027192,0.70326198,-0.270056428,Barbados
-0.863134697,-0.918637073,0.340731778,-0.342514045,0.020818102,-0.011716595,-0.205584798,Belarus
-0.882517252,-0.769050867,0.711233435,1.773315692,1.272088684,1.120332816,-0.194850051,Belgium
-0.500404034,-0.170706046,-0.45159644,-0.456000465,-0.4661347,0.083613882,-0.269719652,Belize
2.013790176,1.617529047,-0.655292156,-0.653688272,-0.781037797,-1.02460291,-0.20565496,Benin
0.114299836,-0.422282846,-0.586324315,-0.567826108,-0.520877788,0.202776978,-0.266828988,Bhutan
0.230595163,0.135265738,-0.488486215,-0.582219507,-0.58396268,0.13127912,-0.201164608,Bolivia
-0.821600652,-1.102220143,0.294218583,-0.43551755,-0.360298063,0.727094599,-0.246138289,Bosnia and Herzegovina
0.427189645,-0.034718586,-0.417914471,-0.329781423,-0.151231603,-1.417841126,-0.257644815,Botswana
-0.48102148,-0.77585024,-0.390648115,-0.053538869,-0.093881702,0.42918686,1.124190809,Brazil
-0.71638107,-0.72825463,3.200491318,1.302762244,3.420103185,0.739010909,-0.269263601,Brunei
-0.71638107,-0.973032057,0.331108358,-0.307084139,-0.05738631,0.41727055,-0.220388927,Bulgaria
2.04147954,1.937099577,-0.722976874,-0.662767186,-0.799285493,-1.477422674,-0.159067559,Burkina Faso
1.462771842,2.19547575,-0.740812278,-0.682751867,-0.835676612,-1.501255293,-0.208601753,Burundi
0.133682391,-0.082314197,-0.687691002,-0.649868485,-0.737243326,-0.500285288,-0.170293439,Cambodia
1.847653995,1.44074535,-0.700041057,-0.622078152,-0.735679238,-1.560836841,-0.12819639,Cameroon
-0.852058952,-0.884640208,1.75697837,1.989216685,1.292943194,1.27524484,-0.029969943,Canada
-0.292733808,-0.231900402,-0.551038443,-0.506930956,-0.563629533,0.226609597,-0.268463757,Cape Verde
3.010607264,1.522337826,-0.735118422,-0.6703514,-0.828377534,-2.716718871,-0.24059551,Central African Republic
3.038296628,2.413055686,-0.738069604,-0.647654116,-0.778952346,-1.644251008,-0.185729024,Chad
-0.766221925,-0.72825463,-0.004107426,0.051643666,0.187654179,1.036918649,-0.151349767,Chile
-0.600085743,-0.9118377,0.396868393,-0.420570558,-0.333708563,0.512601027,9.340131485,China
-0.505941907,-0.646662154,-0.480466699,-0.330888607,-0.276358662,0.739010909,0.053522537,Colombia
1.363090133,1.284359771,-0.714315796,-0.653079321,-0.801892306,-0.619448384,-0.267067538,Comoros
2.096858267,2.372259448,-0.739112141,-0.676606993,-0.843079963,-1.525087912,0.195950885,"Congo, Dem. Rep."
0.693007535,1.352353501,-0.664755185,-0.543468047,-0.604295827,-1.155682315,-0.240385025,"Congo, Rep."
-0.724687879,-0.707856511,-0.475654989,-0.227920441,-0.177299741,1.156081744,-0.23975357,Costa Rica
1.986100813,1.529137199,-0.689455296,-0.632596406,-0.745063767,-1.656167318,-0.12538992,Cote d'Ivoire
-0.857596824,-0.986630803,-0.008919136,0.073787358,0.203295062,0.691345671,-0.24178826,Croatia
-0.83821427,-0.864242089,-0.236673401,-0.373515214,0.104236141,0.917755553,-0.192043581,Cuba
-0.910206615,-1.034226414,0.313465422,0.970606869,0.85499849,1.120332816,-0.264169858,Cyprus
-0.915744488,-0.986630803,0.874831569,0.417014578,0.625598883,0.834341386,-0.197656521,Czech Republic
-0.890824061,-0.796248359,0.422530845,2.548344899,1.438924762,1.072667577,-0.232877718,Denmark
-0.065681027,-0.245499148,-0.405083245,-0.388462205,-0.286785917,0.464935789,-0.201866226,Dominican Republic
-0.32872998,-0.20470291,-0.337719307,-0.422231335,-0.358212612,0.739010909,-0.165382117,Ecuador
-0.231817208,0.216858214,-0.339323211,-0.552325524,-0.363947602,0.012116024,0.330661441,Egypt
